Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;
0;Clear Label;0;0;pixels;3733;422481;422481;pixels;0;;;;;;;;;;;;;;
997;root;5443682;5443681.844345;pixels;359;34860;34860;pixels;0.006404;;;;;;;;;;;;;;
8;Basic cell groups and regions;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
567;Cerebrum;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
688;Cerebral cortex;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
695;Cortical plate;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
315;Isocortex;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
184;Frontal pole, cerebral cortex;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
68;Frontal pole, layer 1;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
667;Frontal pole, layer 2/3;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
526157192;Frontal pole, layer 5;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
526157196;Frontal pole, layer 6a;13981;13980.990601;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
526322264;Frontal pole, layer 6b;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
500;Somatomotor areas;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
107;Somatomotor areas, Layer 1;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
219;Somatomotor areas, Layer 2/3;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
299;Somatomotor areas, Layer 5;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
644;Somatomotor areas, Layer 6a;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
947;Somatomotor areas, Layer 6b;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
985;Primary motor area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
320;Primary motor area, Layer 1;1400251;1400251.331680;pixels;2;219;219;pixels;0.000156;;;;;;;;;;;;;;
943;Primary motor area, Layer 2/3;4253190;4253190.189270;pixels;71;7588;7588;pixels;0.001784;;;;;;;;;;;;;;
648;Primary motor area, Layer 5;3974830;3974830.373474;pixels;265;32193;32193;pixels;0.008099;;;;;;;;;;;;;;
844;Primary motor area, Layer 6a;3637872;3637871.811340;pixels;331;41943;41943;pixels;0.011530;;;;;;;;;;;;;;
882;Primary motor area, Layer 6b;246979;246979.328674;pixels;19;2187;2187;pixels;0.008855;;;;;;;;;;;;;;
993;Secondary motor area;0;0;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
656;Secondary motor area, layer 1;1386088;1386088.231369;pixels;0;0;0;pixels;0;;;;;;;;;;;;;;
962;Secondary motor area, layer 2/3;2540897;2540896.591415;pixels;15;1836;1836;pixels;0.000723;;;;;;;;;;;;;;
767;Secondary motor area, layer 5;3489863;3489862.571259;pixels;178;19881;19881;pixels;0.005697;;;;;;;;;;;;;;
