,Unnamed: 0,animal,section,region,area,nfos,ntrap,ncoloc
0,0,FT102,s001,naccore,0,0,0,0
1,1,FT102,s001,naccore,0,0,0,0
2,2,FT102,s001,nacshell,0,0,0,0
3,3,FT102,s001,nacshell,0,0,0,0
4,4,FT102,s001,caudateput,0,0,0,0
5,5,FT102,s001,caudateput,0,0,0,0
6,6,FT102,s001,piriform,0,0,0,0
7,7,FT102,s001,piriform,0,0,0,0
8,8,FT102,s002,naccore,0,0,0,0
9,9,FT102,s002,naccore,0,0,0,0
10,10,FT102,s002,nacshell,0,0,0,0
11,11,FT102,s002,nacshell,0,0,0,0
12,12,FT102,s002,caudateput,0,0,0,0
13,13,FT102,s002,caudateput,0,0,0,0
14,14,FT102,s002,piriform,0,0,0,0
15,15,FT102,s002,piriform,0,0,0,0
16,16,FT102,s003,naccore,0,0,0,0
17,17,FT102,s003,naccore,0,0,0,0
18,18,FT102,s003,nacshell,0,0,0,0
19,19,FT102,s003,nacshell,0,0,0,0
20,20,FT102,s003,caudateput,0,0,0,0
21,21,FT102,s003,caudateput,0,0,0,0
22,22,FT102,s003,piriform,0,0,0,0
23,23,FT102,s003,piriform,0,0,0,0
24,24,FT102,s004,caudateput,0,0,0,0
25,25,FT102,s004,caudateput,0,0,0,0
26,26,FT102,s004,piriform,0,0,0,0
27,27,FT102,s004,piriform,0,0,0,0
28,28,FT102,s005,caudateput,0,0,0,0
29,29,FT102,s005,caudateput,0,0,0,0
30,30,FT102,s006,caudateput,0,0,0,0
31,31,FT102,s006,caudateput,0,0,0,0
32,32,FT102,s009,pvthal,0,0,0,0
33,33,FT102,s009,pvthal,0,0,0,0
34,34,FT102,s009,pvhypo,0,0,0,0
35,35,FT102,s009,pvhypo,0,0,0,0
36,36,FT102,s010,pvthal,0,0,0,0
37,37,FT102,s010,pvthal,0,0,0,0
38,38,FT102,s010,pvhypo,0,0,0,0
39,39,FT102,s010,pvhypo,0,0,0,0
40,40,FT102,s011,pvthal,0,0,0,0
41,41,FT102,s011,pvthal,0,0,0,0
42,42,FT102,s011,pvhypo,0,0,0,0
