,Difference score
"Primary somatosensory area, nose, layer 6b",-1.551997080603766
nigrostriatal tract,-1.5427424060366308
"Globus pallidus, internal segment",-1.381175061086617
ventral hippocampal commissure,-1.366555013514298
"Anterolateral visual area, layer 5",-1.3592926780713572
"Gustatory areas, layer 6b",-1.3518175694656376
Perifornical nucleus,-1.3512428401673686
"posteromedial visual area, layer 6b",-1.269470393362922
Olfactory tubercle,-1.2549565375947491
"Infralimbic area, layer 6a",-1.2330311624003667
Dorsal premammillary nucleus,-1.231039897803297
facial nerve,-1.2159499197178734
"posteromedial visual area, layer 6a",-1.2103687008688802
"Lateral septal nucleus, caudal (caudodorsal) part",-1.2036976883383272
Field CA2,-1.1696474658443272
"Nucleus of the lateral olfactory tract, molecular layer",-1.1630467569869232
Intermediate reticular nucleus,-1.1583876894433425
"Retrosplenial area, dorsal part, layer 6a",-1.1332175784636966
"Anterolateral visual area, layer 6a",-1.128773221922452
Simple lobule,-1.1250269443158314
stria terminalis,-1.1195803268880529
"Retrosplenial area, ventral part, layer 5",-1.1159679789366175
Anteroventral preoptic nucleus,-1.1118396421204566
Vascular organ of the lamina terminalis,-1.1000568053356392
Anteroventral periventricular nucleus,-1.088887982345756
"Perirhinal area, layer 5",-1.065224029867818
Lateral preoptic area,-1.0598017195170009
"Infralimbic area, layer 6b",-1.0580002000130795
Intermediodorsal nucleus of the thalamus,-1.0504776144802523
"posteromedial visual area, layer 5",-1.0478762014513503
Paraventricular hypothalamic nucleus,-1.0466763378221862
superior cerebellar peduncle decussation,-1.0404053097299903
Thalamus,-1.036830021023107
mammillotegmental tract,-1.0281937329294348
dorsal fornix,-1.026779994022981
"Periventricular hypothalamic nucleus, preoptic part",-1.0262384063445218
Diagonal band nucleus,-1.0261225860295735
middle cerebellar peduncle,-1.0182800283652171
Anterior amygdalar area,-1.0086606617601936
Supraoptic nucleus,-0.9972716632383769
fiber tracts,-0.984953959126173
"Ventral posteromedial nucleus of the thalamus, parvicellular part",-0.9678315521868044
Midbrain,-0.9496535704984637
Midbrain trigeminal nucleus,-0.9482710764974116
"Central amygdalar nucleus, capsular part",-0.9340277349260329
Lateral hypothalamic area,-0.9339331776984268
Medial septal nucleus,-0.9197582895699583
"Primary visual area, layer 5",-0.9158684138421339
Parasubthalamic nucleus,-0.9098538898052765
Cerebellum,-0.904808089007451
Ventral cochlear nucleus,-0.8924927476987942
"Superior colliculus, motor related, intermediate white layer",-0.8876298108377638
Bed nucleus of the anterior commissure,-0.8811323102276193
"Ventral posterolateral nucleus of the thalamus, parvicellular part",-0.8796762788486113
Postpiriform transition area,-0.8780855010472043
"Anterolateral visual area, layer 2/3",-0.8767596932663811
Lobule II,-0.8735701639087298
Medial accesory oculomotor nucleus,-0.8727408504996756
Flocculus,-0.8602914900083669
Retrochiasmatic area,-0.859171749470033
Pontine central gray,-0.8569611258008327
Posterior hypothalamic nucleus,-0.8493550475084977
third ventricle,-0.839837159446055
"Superior colliculus, motor related, deep white layer",-0.8393056759324979
"Nucleus of the lateral olfactory tract, pyramidal layer",-0.8360268776534596
"Agranular insular area, ventral part, layer 5",-0.8346822373186173
"Primary somatosensory area, mouth, layer 6b",-0.8279658962582009
Medial preoptic area,-0.8261784584063898
"lateral olfactory tract, body",-0.8229072604993255
Lateral habenula,-0.8123324610447034
principal mammillary tract,-0.8113772364609844
"Ventral auditory area, layer 6b",-0.8059278522875262
amygdalar capsule,-0.805574729286368
rubrospinal tract,-0.8025600004724385
Nucleus accumbens,-0.8012902960228655
"Rostrolateral area, layer 1",-0.7885710662619849
Ventral premammillary nucleus,-0.7823570546833936
arbor vitae,-0.7820484020120823
"Medial mammillary nucleus, median part",-0.7731462525174735
"Prelimbic area, layer 6a",-0.7704432680466601
optic chiasm,-0.7658419400532097
Ventrolateral preoptic nucleus,-0.7649093686814459
"Agranular insular area, ventral part, layer 2/3",-0.7638306987616709
"Nucleus of the lateral olfactory tract, layer 3",-0.7566769856890916
optic nerve,-0.7562088500346659
Accessory supraoptic group,-0.7470416349535753
Dorsomedial nucleus of the hypothalamus,-0.7458720959330034
ventral spinocerebellar tract,-0.7413678304695344
Ectorhinal area/Layer 2/3,-0.7352868183376362
Parastrial nucleus,-0.7342693166621886
"Retrosplenial area, lateral agranular part, layer 6a",-0.7290207135905898
Field CA3,-0.7241338376802919
"Globus pallidus, external segment",-0.7107232514434343
"Superior colliculus, motor related, deep gray layer",-0.7083265872253166
Anterior hypothalamic nucleus,-0.7075419442638669
Magnocellular reticular nucleus,-0.7071067811865477
uncinate fascicle,-0.7071067811865477
"Frontal pole, layer 6b",-0.7071067811865476
inferior cerebellar peduncle,-0.7071067811865476
Medial vestibular nucleus,-0.7071067811865476
inferior colliculus commissure,-0.7071067811865476
Dorsal cochlear nucleus,-0.7071067811865476
"Spinal nucleus of the trigeminal, oral part",-0.7071067811865476
Crus 1,-0.7071067811865476
Lobule III,-0.7071067811865475
Parapyramidal nucleus,-0.7071067811865475
"Primary visual area, layer 1",-0.7071067811865475
Subceruleus nucleus,-0.7071067811865475
Sublaterodorsal nucleus,-0.7071067811865475
"posteromedial visual area, layer 1",-0.7071067811865475
lateral recess,-0.7071067811865475
