region,diet,animal,infusion2,area,nfos,ntrap,ncoloc,density_fos,density_trap,density_coloc,pc_fos_coloc,pc_trap_coloc
arcuate,NR,FT102,casein,,,,,,,,,
arcuate,NR,FT102,malt,,,,,,,,,
arcuate,NR,FT102,water,,,,,,,,,
arcuate,NR,FT103,casein,,,,,,,,,
arcuate,NR,FT103,malt,,,,,,,,,
arcuate,NR,FT103,water,,,,,,,,,
arcuate,NR,FT104,casein,26813.5,6.5,8.25,0.75,21.612006671130956,32.250429771214556,2.6140108441404153,11.666666666666666,8.116883116883116
arcuate,NR,FT104,malt,,,,,,,,,
arcuate,NR,FT104,water,,,,,,,,,
arcuate,NR,FT105,casein,,,,,,,,,
arcuate,NR,FT105,malt,,,,,,,,,
arcuate,NR,FT105,water,26635.5,11.5,15.5,2.25,43.40492568876964,58.415306823382394,8.73748064789807,19.497863247863247,15.323886639676113
arcuate,NR,FT106,casein,,,,,,,,,
arcuate,NR,FT106,malt,,,,,,,,,
arcuate,NR,FT106,water,,,,,,,,,
arcuate,NR,FT108,casein,,,,,,,,,
arcuate,NR,FT108,malt,,,,,,,,,
arcuate,NR,FT108,water,,,,,,,,,
arcuate,NR,FT109,casein,,,,,,,,,
arcuate,NR,FT109,malt,,,,,,,,,
arcuate,NR,FT109,water,,,,,,,,,
arcuate,NR,FT110,casein,,,,,,,,,
arcuate,NR,FT110,malt,25621.333333333332,2.75,9.083333333333334,0.5833333333333334,10.817916756103592,35.32974016112335,2.2062516892680724,10.606060606060606,4.788359788359788
arcuate,NR,FT110,water,,,,,,,,,
arcuate,NR,FT111,casein,,,,,,,,,
arcuate,NR,FT111,malt,25959.166666666668,9.833333333333334,13.666666666666666,2.3333333333333335,38.887891694667374,52.567391473178304,9.17496395492756,21.052631578947366,13.39572192513369
arcuate,NR,FT111,water,,,,,,,,,
arcuate,NR,FT112,casein,,,,,,,,,
arcuate,NR,FT112,malt,,,,,,,,,
arcuate,NR,FT112,water,,,,,,,,,
arcuate,NR,FT114,casein,,,,,,,,,
arcuate,NR,FT114,malt,23576.75,5.25,7.25,1.0,21.317169981937315,29.10876088814655,4.086735461127136,23.731060606060606,23.939393939393938
arcuate,NR,FT114,water,,,,,,,,,
arcuate,NR,FT116,casein,,,,,,,,,
arcuate,NR,FT116,malt,,,,,,,,,
arcuate,NR,FT116,water,,,,,,,,,
arcuate,NR,FT118,casein,30243.666666666668,2.3333333333333335,17.0,0.6666666666666666,7.472909771147972,58.93609075866019,2.2883432425875445,43.05555555555556,3.2661782661782666
arcuate,NR,FT118,malt,,,,,,,,,
arcuate,NR,FT118,water,,,,,,,,,
arcuate,NR,FT119,casein,,,,,,,,,
arcuate,NR,FT119,malt,,,,,,,,,
arcuate,NR,FT119,water,,,,,,,,,
arcuate,NR,FT120,casein,,,,,,,,,
arcuate,NR,FT120,malt,,,,,,,,,
arcuate,NR,FT120,water,,,,,,,,,
arcuate,NR,FT126,casein,,,,,,,,,
arcuate,NR,FT126,malt,,,,,,,,,
arcuate,NR,FT126,water,,,,,,,,,
arcuate,NR,FT127,casein,,,,,,,,,
arcuate,NR,FT127,malt,,,,,,,,,
arcuate,NR,FT127,water,24864.5,5.0,11.0,1.5,21.474260292844182,45.49553755945948,6.275155126943139,38.40136054421769,12.70274864024864
arcuate,NR,FT128,casein,29478.5,8.5,14.25,3.25,27.383763586075396,47.11381917678244,10.528340095176153,53.75,21.233193277310924
arcuate,NR,FT128,malt,,,,,,,,,
arcuate,NR,FT128,water,,,,,,,,,
arcuate,NR,FT131,casein,,,,,,,,,
arcuate,NR,FT131,malt,,,,,,,,,
arcuate,NR,FT131,water,,,,,,,,,
arcuate,NR,FT133,casein,,,,,,,,,
arcuate,NR,FT133,malt,,,,,,,,,
arcuate,NR,FT133,water,25350.0,2.3333333333333335,6.555555555555555,0.6666666666666666,9.189769588892304,25.15288832536195,2.54976806636725,43.214285714285715,22.59469696969697
arcuate,NR,FT134,casein,,,,,,,,,
arcuate,NR,FT134,malt,,,,,,,,,
arcuate,NR,FT134,water,,,,,,,,,
arcuate,NR,FT136,casein,,,,,,,,,
arcuate,NR,FT136,malt,,,,,,,,,
arcuate,NR,FT136,water,,,,,,,,,
arcuate,NR,FT137,casein,,,,,,,,,
arcuate,NR,FT137,malt,,,,,,,,,
arcuate,NR,FT137,water,,,,,,,,,
arcuate,NR,FT138,casein,,,,,,,,,
arcuate,NR,FT138,malt,,,,,,,,,
arcuate,NR,FT138,water,21537.333333333332,5.5,6.333333333333333,1.1666666666666667,25.751002045644142,28.32602957574406,5.248906467332002,16.060606060606062,21.794871794871796
arcuate,NR,FT139,casein,20455.5,7.25,5.25,0.5,34.022644939226396,24.098580196027214,1.8092998009770218,3.8461538461538463,5.0
arcuate,NR,FT139,malt,,,,,,,,,
arcuate,NR,FT139,water,,,,,,,,,
arcuate,NR,FT140,casein,,,,,,,,,
arcuate,NR,FT140,malt,,,,,,,,,
arcuate,NR,FT140,water,,,,,,,,,
arcuate,NR,FT141,casein,,,,,,,,,
arcuate,NR,FT141,malt,,,,,,,,,
arcuate,NR,FT141,water,,,,,,,,,
arcuate,NR,FT144,casein,,,,,,,,,
arcuate,NR,FT144,malt,,,,,,,,,
arcuate,NR,FT144,water,,,,,,,,,
arcuate,NR,FT145,casein,15644.0,0.0,8.0,0.0,0.0,49.86761601435428,0.0,,0.0
arcuate,NR,FT145,malt,,,,,,,,,
arcuate,NR,FT145,water,,,,,,,,,
arcuate,NR,FT147,casein,,,,,,,,,
arcuate,NR,FT147,malt,,,,,,,,,
arcuate,NR,FT147,water,,,,,,,,,
arcuate,NR,FT148,casein,,,,,,,,,
arcuate,NR,FT148,malt,,,,,,,,,
arcuate,NR,FT148,water,,,,,,,,,
arcuate,NR,FT149,casein,,,,,,,,,
arcuate,NR,FT149,malt,,,,,,,,,
arcuate,NR,FT149,water,,,,,,,,,
arcuate,NR,FT150,casein,,,,,,,,,
arcuate,NR,FT150,malt,,,,,,,,,
arcuate,NR,FT150,water,17694.666666666668,2.3333333333333335,13.333333333333334,0.6666666666666666,13.619462557369921,77.31045439186825,4.094922246806701,18.0,4.232804232804233
arcuate,NR,FT151,casein,,,,,,,,,
arcuate,NR,FT151,malt,,,,,,,,,
arcuate,NR,FT151,water,,,,,,,,,
arcuate,NR,FT153,casein,,,,,,,,,
arcuate,NR,FT153,malt,,,,,,,,,
arcuate,NR,FT153,water,,,,,,,,,
arcuate,NR,FT154,casein,,,,,,,,,
arcuate,NR,FT154,malt,,,,,,,,,
arcuate,NR,FT154,water,,,,,,,,,
arcuate,NR,FT155,casein,,,,,,,,,
arcuate,NR,FT155,malt,,,,,,,,,
arcuate,NR,FT155,water,16904.666666666668,4.166666666666667,6.333333333333333,1.1666666666666667,24.80278109885238,37.03757452780919,6.706168509073435,18.055555555555554,13.518518518518519
arcuate,NR,FT157,casein,,,,,,,,,
arcuate,NR,FT157,malt,,,,,,,,,
arcuate,NR,FT157,water,,,,,,,,,
arcuate,NR,FT161,casein,,,,,,,,,
arcuate,NR,FT161,malt,18771.0,2.0,6.0,1.0,10.654733365297533,31.9642000958926,5.3273666826487664,50.0,16.666666666666664
arcuate,NR,FT161,water,,,,,,,,,
arcuate,NR,FT162,casein,,,,,,,,,
arcuate,NR,FT162,malt,25586.666666666668,7.5,6.833333333333333,2.0,27.994748609637167,26.004988650903172,7.247310126708597,19.30969030969031,19.015269151138714
arcuate,NR,FT162,water,,,,,,,,,
arcuate,NR,FT163,casein,,,,,,,,,
arcuate,NR,FT163,malt,27655.0,3.25,4.25,0.5,11.235672752525506,15.361973157287792,1.8388437350593947,20.0,6.666666666666667
arcuate,NR,FT163,water,,,,,,,,,
arcuate,NR,FT164,casein,,,,,,,,,
arcuate,NR,FT164,malt,24014.75,1.75,4.0,0.0,7.83167677159077,17.191216692704675,0.0,0.0,0.0
arcuate,NR,FT164,water,,,,,,,,,
