region,infusion2,animal,area,nfos,ntrap,ncoloc,density_fos,density_trap,density_coloc,pc_fos_coloc,pc_trap_coloc
arcuate,casein,FT102,0.0,0.0,0.0,0.0,,,,,
arcuate,casein,FT103,,,,,,,,,
arcuate,casein,FT104,26813.5,6.5,8.25,0.75,21.612006671130956,32.250429771214556,2.6140108441404153,11.666666666666666,8.116883116883116
arcuate,casein,FT105,,,,,,,,,
arcuate,casein,FT106,,,,,,,,,
arcuate,casein,FT108,,,,,,,,,
arcuate,casein,FT109,,,,,,,,,
arcuate,casein,FT110,,,,,,,,,
arcuate,casein,FT111,,,,,,,,,
arcuate,casein,FT112,,,,,,,,,
arcuate,casein,FT114,,,,,,,,,
arcuate,casein,FT116,21467.5,5.5,2.25,0.75,26.44929712088083,11.3248678199277,3.7379054685138438,17.5,27.777777777777775
arcuate,casein,FT118,30243.666666666668,2.3333333333333335,17.0,0.6666666666666666,7.472909771147972,58.93609075866019,2.2883432425875445,43.05555555555556,3.2661782661782666
arcuate,casein,FT119,,,,,,,,,
arcuate,casein,FT120,21730.666666666668,3.0,5.833333333333333,0.8333333333333334,14.158719824169081,26.032234929368602,3.772617984458595,29.166666666666668,11.435185185185185
arcuate,casein,FT126,23079.5,4.0,4.5,0.75,18.477265800660863,19.877427064068513,3.6119695139210233,11.25,12.499999999999998
arcuate,casein,FT127,,,,,,,,,
arcuate,casein,FT128,29478.5,8.5,14.25,3.25,27.383763586075396,47.11381917678244,10.528340095176153,53.75,21.233193277310924
arcuate,casein,FT131,,,,,,,,,
arcuate,casein,FT133,,,,,,,,,
arcuate,casein,FT134,24152.0,4.166666666666667,5.5,2.0,18.88443811741867,21.64131145152966,8.825339012897297,50.83333333333333,55.72649572649573
arcuate,casein,FT136,,,,,,,,,
arcuate,casein,FT137,25856.666666666668,1.8333333333333333,3.0,0.0,6.799660209963847,11.491883007957417,0.0,0.0,0.0
arcuate,casein,FT138,,,,,,,,,
arcuate,casein,FT139,20455.5,7.25,5.25,0.5,34.022644939226396,24.098580196027214,1.8092998009770218,3.8461538461538463,5.0
arcuate,casein,FT140,,,,,,,,,
arcuate,casein,FT141,,,,,,,,,
arcuate,casein,FT144,,,,,,,,,
arcuate,casein,FT145,15644.0,0.0,8.0,0.0,0.0,49.86761601435428,0.0,,0.0
arcuate,casein,FT147,,,,,,,,,
arcuate,casein,FT148,,,,,,,,,
arcuate,casein,FT149,,,,,,,,,
arcuate,casein,FT150,,,,,,,,,
arcuate,casein,FT151,22678.5,2.875,8.375,1.125,12.37903392312584,36.42720510199264,4.800807117356132,31.111111111111107,11.527777777777779
arcuate,casein,FT153,,,,,,,,,
arcuate,casein,FT154,22211.5,6.75,15.75,1.75,30.52804684299114,71.54256579954723,7.897726825811216,21.875,11.502313475997687
arcuate,casein,FT155,,,,,,,,,
arcuate,casein,FT157,,,,,,,,,
arcuate,casein,FT161,,,,,,,,,
arcuate,casein,FT162,,,,,,,,,
arcuate,casein,FT163,,,,,,,,,
arcuate,casein,FT164,,,,,,,,,
arcuate,casein,FT166,,,,,,,,,
arcuate,casein,FT167,,,,,,,,,
arcuate,casein,FT168,,,,,,,,,
arcuate,malt,FT102,,,,,,,,,
arcuate,malt,FT103,,,,,,,,,
arcuate,malt,FT104,,,,,,,,,
arcuate,malt,FT105,,,,,,,,,
arcuate,malt,FT106,,,,,,,,,
arcuate,malt,FT108,32407.0,6.2,9.2,1.4,20.207093622044432,28.120028506422198,4.446832308307885,20.303030303030305,18.6038961038961
arcuate,malt,FT109,22953.0,0.5,6.833333333333333,0.16666666666666666,2.1605596311229927,31.176708911432154,0.6199243692269544,33.333333333333336,3.3333333333333335
arcuate,malt,FT110,25621.333333333332,2.75,9.083333333333334,0.5833333333333334,10.817916756103592,35.32974016112335,2.2062516892680724,10.606060606060606,4.788359788359788
arcuate,malt,FT111,25959.166666666668,9.833333333333334,13.666666666666666,2.3333333333333335,38.887891694667374,52.567391473178304,9.17496395492756,21.052631578947366,13.39572192513369
arcuate,malt,FT112,,,,,,,,,
arcuate,malt,FT114,23576.75,5.25,7.25,1.0,21.317169981937315,29.10876088814655,4.086735461127136,23.731060606060606,23.939393939393938
arcuate,malt,FT116,,,,,,,,,
arcuate,malt,FT118,,,,,,,,,
arcuate,malt,FT119,28162.0,1.0,2.5,0.5,3.2880676026699107,8.505817579621015,1.6440338013349554,50.0,12.5
arcuate,malt,FT120,,,,,,,,,
arcuate,malt,FT126,,,,,,,,,
arcuate,malt,FT127,,,,,,,,,
arcuate,malt,FT128,,,,,,,,,
arcuate,malt,FT131,,,,,,,,,
arcuate,malt,FT133,,,,,,,,,
arcuate,malt,FT134,,,,,,,,,
arcuate,malt,FT136,,,,,,,,,
arcuate,malt,FT137,,,,,,,,,
arcuate,malt,FT138,,,,,,,,,
arcuate,malt,FT139,,,,,,,,,
arcuate,malt,FT140,24918.5,3.75,5.5,0.5,14.410137778953812,21.283062718325368,2.0105352044714304,8.333333333333332,8.333333333333332
arcuate,malt,FT141,,,,,,,,,
arcuate,malt,FT144,,,,,,,,,
arcuate,malt,FT145,,,,,,,,,
arcuate,malt,FT147,24424.5,5.75,5.25,0.25,24.08067831459262,21.188879422201396,1.1171187273783458,2.7777777777777777,3.125
arcuate,malt,FT148,,,,,,,,,
arcuate,malt,FT149,21782.0,2.6666666666666665,6.666666666666667,0.8333333333333334,12.997691801135455,29.91368092038849,3.811456766382978,31.666666666666664,13.888888888888886
arcuate,malt,FT150,,,,,,,,,
arcuate,malt,FT151,,,,,,,,,
arcuate,malt,FT153,,,,,,,,,
arcuate,malt,FT154,,,,,,,,,
arcuate,malt,FT155,,,,,,,,,
arcuate,malt,FT157,,,,,,,,,
arcuate,malt,FT161,18771.0,2.0,6.0,1.0,10.654733365297533,31.9642000958926,5.3273666826487664,50.0,16.666666666666664
arcuate,malt,FT162,25586.666666666668,7.5,6.833333333333333,2.0,27.994748609637167,26.004988650903172,7.247310126708597,19.30969030969031,19.015269151138714
arcuate,malt,FT163,27655.0,3.25,4.25,0.5,11.235672752525506,15.361973157287792,1.8388437350593947,20.0,6.666666666666667
arcuate,malt,FT164,24014.75,1.75,4.0,0.0,7.83167677159077,17.191216692704675,0.0,0.0,0.0
arcuate,malt,FT166,24394.2,4.2,1.6,0.4,16.833954771021045,6.3771929648574,1.7598662501649875,7.142857142857142,25.0
arcuate,malt,FT167,,,,,,,,,
arcuate,malt,FT168,20828.5,7.75,1.25,0.25,35.06180020281917,5.77434682496546,1.2652462169138115,2.2222222222222223,16.666666666666668
arcuate,water,FT102,,,,,,,,,
arcuate,water,FT103,14836.6,4.4,1.4,0.0,28.293632639530166,8.919287188035625,0.0,0.0,0.0
arcuate,water,FT104,,,,,,,,,
arcuate,water,FT105,26635.5,11.5,15.5,2.25,43.40492568876964,58.415306823382394,8.73748064789807,19.497863247863247,15.323886639676113
arcuate,water,FT106,,,,,,,,,
arcuate,water,FT108,,,,,,,,,
arcuate,water,FT109,,,,,,,,,
arcuate,water,FT110,,,,,,,,,
arcuate,water,FT111,,,,,,,,,
arcuate,water,FT112,22998.0,10.0,8.75,2.75,43.12602768477794,38.66356384145969,11.920757561427909,26.313131313131315,31.03174603174603
arcuate,water,FT114,,,,,,,,,
arcuate,water,FT116,,,,,,,,,
arcuate,water,FT118,,,,,,,,,
arcuate,water,FT119,,,,,,,,,
arcuate,water,FT120,,,,,,,,,
arcuate,water,FT126,,,,,,,,,
arcuate,water,FT127,24864.5,5.0,11.0,1.5,21.474260292844182,45.49553755945948,6.275155126943139,38.40136054421769,12.70274864024864
arcuate,water,FT128,,,,,,,,,
arcuate,water,FT131,25099.0,3.75,7.25,0.75,15.01425857808115,29.653604244006914,3.3914261854182257,25.0,29.545454545454547
arcuate,water,FT133,25350.0,2.3333333333333335,6.555555555555555,0.6666666666666666,9.189769588892304,25.15288832536195,2.54976806636725,43.214285714285715,22.59469696969697
arcuate,water,FT134,,,,,,,,,
arcuate,water,FT136,20527.0,5.166666666666667,8.666666666666666,0.8333333333333334,24.472635506544137,40.465443810516504,3.558167371287898,14.285714285714283,5.416666666666667
arcuate,water,FT137,,,,,,,,,
arcuate,water,FT138,21537.333333333332,5.5,6.333333333333333,1.1666666666666667,25.751002045644142,28.32602957574406,5.248906467332002,16.060606060606062,21.794871794871796
arcuate,water,FT139,,,,,,,,,
arcuate,water,FT140,,,,,,,,,
arcuate,water,FT141,,,,,,,,,
arcuate,water,FT144,,,,,,,,,
arcuate,water,FT145,,,,,,,,,
arcuate,water,FT147,,,,,,,,,
arcuate,water,FT148,22982.0,2.5,7.75,0.75,11.493587998752592,35.49639882816497,3.6525741540194616,22.5,7.083333333333333
arcuate,water,FT149,,,,,,,,,
arcuate,water,FT150,17694.666666666668,2.3333333333333335,13.333333333333334,0.6666666666666666,13.619462557369921,77.31045439186825,4.094922246806701,18.0,4.232804232804233
arcuate,water,FT151,,,,,,,,,
arcuate,water,FT153,22410.0,1.3333333333333333,1.8333333333333333,0.0,7.1058175524823595,6.470305949325906,0.0,0.0,0.0
arcuate,water,FT154,,,,,,,,,
arcuate,water,FT155,16904.666666666668,4.166666666666667,6.333333333333333,1.1666666666666667,24.80278109885238,37.03757452780919,6.706168509073435,18.055555555555554,13.518518518518519
arcuate,water,FT157,27539.0,5.833333333333333,3.0,0.6666666666666666,20.059621520215597,11.046566659713429,2.1583815061434137,8.380952380952381,18.666666666666664
arcuate,water,FT161,,,,,,,,,
arcuate,water,FT162,,,,,,,,,
arcuate,water,FT163,,,,,,,,,
arcuate,water,FT164,,,,,,,,,
arcuate,water,FT166,,,,,,,,,
arcuate,water,FT167,19035.0,0.5,2.8333333333333335,0.0,2.7126557924979466,15.05073034768334,0.0,0.0,0.0
arcuate,water,FT168,,,,,,,,,
caudateput,casein,FT102,0.0,0.0,0.0,0.0,,,,,
caudateput,casein,FT103,,,,,,,,,
caudateput,casein,FT104,1262869.8333333333,147.75,12.666666666666666,2.75,11.840367332553072,1.0804600690597632,0.22935508878783958,2.035360646134635,21.035908535908536
caudateput,casein,FT105,,,,,,,,,
caudateput,casein,FT106,1295369.6153846155,81.61538461538461,35.84615384615385,6.230769230769231,6.195129514029418,2.7562087537326336,0.44629418240463614,6.599702709087674,15.466360688860057
caudateput,casein,FT108,,,,,,,,,
caudateput,casein,FT109,,,,,,,,,
caudateput,casein,FT110,,,,,,,,,
caudateput,casein,FT111,,,,,,,,,
caudateput,casein,FT112,,,,,,,,,
caudateput,casein,FT114,,,,,,,,,
caudateput,casein,FT116,1345595.0,252.0,17.0,1.4,18.7927015396813,1.267330508744595,0.09990135771984336,0.552398377746803,8.077846457837383
caudateput,casein,FT118,1338757.0,64.41666666666667,42.166666666666664,4.0,4.650761109014399,3.3300815087169124,0.26930888660174707,5.69729725037998,8.95215830651146
caudateput,casein,FT119,,,,,,,,,
caudateput,casein,FT120,1499606.6666666667,107.41666666666667,46.0,4.166666666666667,7.3272415419658765,3.098692763755629,0.28434364388033945,3.6089343470782325,8.878523159949657
caudateput,casein,FT126,1241136.6923076923,84.76923076923077,70.76923076923077,6.923076923076923,9.023034685565367,6.2965589900903645,0.8109672700810479,8.333875023747222,11.864131490723272
caudateput,casein,FT127,,,,,,,,,
caudateput,casein,FT128,1262817.0,89.64285714285714,41.785714285714285,6.285714285714286,7.2697614351730655,3.3598105613782843,0.5133671022411935,7.092465875311335,15.113896690335185
caudateput,casein,FT131,,,,,,,,,
caudateput,casein,FT133,,,,,,,,,
caudateput,casein,FT134,1223619.6153846155,74.46153846153847,48.76923076923077,6.153846153846154,6.244572181057881,4.039164437712463,0.4978781860127674,10.060142442911118,12.383078756722817
caudateput,casein,FT136,,,,,,,,,
caudateput,casein,FT137,1329363.1666666667,69.16666666666667,26.25,2.5,5.108101646933174,1.96072507941581,0.19227015498276626,3.746242820113768,9.534652540117312
caudateput,casein,FT138,,,,,,,,,
caudateput,casein,FT139,1298379.5,106.66666666666667,75.5,7.833333333333333,8.44056671052448,5.917567538566068,0.6427096310039737,7.567326098553754,10.94126358954133
caudateput,casein,FT140,,,,,,,,,
caudateput,casein,FT141,,,,,,,,,
caudateput,casein,FT144,,,,,,,,,
caudateput,casein,FT145,1104911.5,40.583333333333336,23.166666666666668,2.9166666666666665,4.002194781909613,2.1832407170833723,0.2753689032352568,7.463342587575263,12.83083466400114
caudateput,casein,FT147,,,,,,,,,
caudateput,casein,FT148,,,,,,,,,
caudateput,casein,FT149,,,,,,,,,
caudateput,casein,FT150,,,,,,,,,
caudateput,casein,FT151,1145892.4,48.2,18.0,2.2,4.504431370394094,1.630743563881189,0.2024024666787958,4.312207292359511,13.716646915176327
caudateput,casein,FT153,,,,,,,,,
caudateput,casein,FT154,1251722.0,12.5,29.5,1.8333333333333333,1.0301847440711,2.335974216368213,0.15391839102614557,18.150390058284795,6.950939889536381
caudateput,casein,FT155,,,,,,,,,
caudateput,casein,FT157,,,,,,,,,
caudateput,casein,FT161,,,,,,,,,
caudateput,casein,FT162,,,,,,,,,
caudateput,casein,FT163,,,,,,,,,
caudateput,casein,FT164,,,,,,,,,
caudateput,casein,FT166,,,,,,,,,
caudateput,casein,FT167,,,,,,,,,
caudateput,casein,FT168,,,,,,,,,
caudateput,malt,FT102,,,,,,,,,
caudateput,malt,FT103,,,,,,,,,
caudateput,malt,FT104,,,,,,,,,
